teamDistribution,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,averageResponsesByWeek,standardDeviationHelpHoursTotalByWeek,standardDeviationHelpHoursAverageByWeek,averageResponsesByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationUniqueCommitMessageCountByWeek,standardDeviationCommitMessageLengthTotalByWeek,lateIssueCount,Level
0.0,44.285714,2.460317,3.6,1.4752379999999998,0.313297,4.5,11.071429,3.091206,69.296465,1.0,2
0.0,23.671429,0.789048,6.0,3.471394,0.382248,6.0,4.734286,11.825396000000001,393.589939,0.0,1
0.0,58.35714300000001,1.57722,7.4,1.9864849999999998,0.321388,5.2857,8.336735000000001,3.5,105.5,0.0,1
0.0,41.5,1.33871,6.2,1.228904,0.184574,5.1667,6.9166669999999995,2.727636,92.785775,0.0,1
0.0,92.214286,2.5615080000000003,7.2,4.304387999999999,0.43187600000000004,5.1429,13.173469,26.358110999999997,2068.64755,0.0,1
0.0,37.714286,1.1785709999999998,6.4,3.209552,0.3811,5.3333,6.285714,0.471405,44.582009,0.0,1
0.0,62.071429,1.773469,7.0,2.245358,0.415175,5.8333,10.345238,5.436502,180.238731,0.0,1
0.0,32.428571999999996,1.409938,4.6,0.936341,0.20783600000000002,4.6,6.485714,3.0,551.0,0.0,1
0.0,61.285715,2.113301,5.8,3.895471,0.391944,5.8,12.257143,10.488088000000001,424.15032699999995,0.0,1
0.0,43.642858000000004,1.818452,6.0,2.028498,0.33808299999999997,4.0,7.273810000000001,1.0,8.0,0.0,1
0.0,39.285715,2.18254,4.5,4.151584,0.796709,3.6,7.857142999999999,14.534442000000002,747.1811610000001,0.0,1
0.0,42.000001,2.1,5.0,3.092742,0.509119,4.0,8.4,10.498677,533.135588,0.0,2
0.0,13.178572,0.8785709999999999,7.5,0.0,0.159091,3.0,2.635714,0.0,0.0,0.0,2
0.0,26.142857,2.010989,6.5,2.571429,0.8412700000000001,2.6,5.228571,0.0,0.0,0.0,1
0.0,10.428572,0.579365,9.0,1.232143,0.321429,3.0,1.7380950000000002,0.0,0.0,0.0,1
0.0,18.0,1.125,8.0,1.0,0.5,2.6667,3.0,0.0,0.0,0.0,1
0.0,19.821429000000002,0.9910709999999999,10.0,2.0,0.733333,3.3333,3.303572,0.0,0.0,0.0,1
0.0,16.857143,0.991597,8.5,1.5535709999999998,0.302219,2.8333,2.809524,0.0,0.0,2.0,2
0.0,17.571429000000002,1.351648,3.25,1.4484110000000001,0.348643,3.25,4.392857,0.0,0.0,1.0,2
1.0,13.642857000000001,1.705357,2.0,0.416497,0.137163,2.6667,4.547619,0.816497,79.799749,1.0,1
1.0,23.142857,2.314286,2.5,2.160862,1.069488,3.3333,7.714286,8.437269,651.804179,1.0,1
1.0,33.142858000000004,3.012987,2.75,1.1753200000000001,0.384655,3.6667,11.047619000000001,1.699673,63.90792,2.0,2
0.0,71.285715,3.564286,5.0,2.760878,0.380488,4.0,14.257143,6.726812,1362.323819,0.0,1
0.0,55.5,2.775,5.0,1.812918,0.362584,4.0,11.1,16.309506,619.185666,0.0,1
0.0,53.25,2.6625,5.0,1.213629,0.24272600000000003,4.0,10.65,8.954747,332.384566,0.0,1
0.0,34.357143,2.147321,4.0,1.0797299999999999,0.323509,3.2,6.871428999999999,0.5,15.0,1.0,1
0.0,29.5,1.475,5.0,1.9308020000000001,0.38616,4.0,5.9,2.692582,90.051027,0.0,1
0.0,48.428571999999996,2.5488720000000002,4.75,1.922941,0.366219,3.8,9.685714,0.0,0.0,0.0,1
0.0,67.285715,2.242857,6.0,1.417817,0.236303,5.0,11.214286,8.954747,516.834596,1.0,2
0.0,42.142858000000004,1.3594469999999998,6.2,1.146067,0.27387100000000003,5.1667,7.023810000000001,8.154753,468.69893099999996,0.0,1
0.0,49.428571999999996,1.704434,5.8,1.654061,0.27199,4.8333,8.238095,14.430523,837.877652,0.0,1
0.0,68.000001,2.3448279999999997,5.8,3.6972129999999996,0.6801189999999999,4.8333,11.333333,4.690416,213.277847,0.0,1
0.0,37.642858000000004,1.2547620000000002,6.0,1.375737,0.251705,5.0,6.27381,6.8818600000000005,259.01119700000004,0.0,2
1.0,36.285715,2.419048,3.0,3.815757,1.271919,5.0,12.095238,15.435025,1213.142959,0.0,1
1.0,30.142857,2.0095240000000003,3.0,1.299607,0.325146,5.0,10.047619000000001,12.599603,912.981756,0.0,1
0.0,75.35714300000001,2.511905,6.0,2.48793,0.407053,5.0,12.559524,13.305638,816.515181,0.0,1
0.0,42.428571999999996,1.463054,5.8,0.975621,0.178195,4.8333,7.071428999999999,22.2926,1065.96893,0.0,1
0.0,25.428572,0.820277,6.2,1.660526,0.285823,5.1667,4.2380949999999995,6.621178,307.806693,1.0,2
1.0,20.571429000000002,1.582418,2.6,1.898227,0.618974,4.3333,6.857142999999999,7.9094880000000005,315.987721,0.0,1
1.0,13.0,1.083333,3.0,0.4414,0.14713299999999999,4.0,4.3333330000000005,1.0,37.5,0.0,2
0.0,48.428571999999996,2.017857,6.0,1.7914189999999999,0.29857,4.0,8.071429,1.299038,35.217183,0.0,2
0.0,29.285715000000003,1.464286,5.0,1.136141,0.227228,4.0,5.857143,1.5,78.5,0.0,1
0.0,41.0,2.05,5.0,2.310137,0.462027,4.0,8.2,14.195070000000001,897.891523,0.0,1
0.0,53.5,2.815789,4.75,4.288541,0.8265600000000001,3.8,10.7,28.394541999999998,1421.804905,0.0,1
0.0,23.142857,1.157143,5.0,0.791376,0.158275,4.0,4.628571,0.0,0.0,0.0,1
0.0,24.571429000000002,1.2285709999999999,5.0,1.761985,0.35239699999999996,4.0,4.914286,17.239127,1038.754422,0.0,1
0.0,25.285714000000002,1.264286,5.0,2.517588,0.503518,4.0,5.057143,0.0,9.0,0.0,1
0.0,43.928571999999996,1.830357,4.8,3.659597,0.720997,4.8,8.785714,8.982622000000001,1560.601967,0.0,1
0.0,49.928571999999996,1.426531,7.0,1.8543939999999999,0.264913,5.0,7.1326529999999995,14.496896,644.782568,0.0,1
0.0,27.857143,1.21118,4.6,2.506481,0.471304,4.6,5.571429,11.740528,347.010893,0.0,1
0.0,47.357143,1.8942860000000001,5.0,2.7150939999999997,0.451722,5.0,9.471428999999999,6.0663,288.886829,0.0,1
0.0,55.14285699999999,2.042328,5.4,1.618475,0.23973899999999998,4.5,9.190476,10.256096000000001,988.846645,0.0,1
