teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,standardDeviationHelpHoursTotalByStudent,uniqueCommitMessagePercent,standardDeviationUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessagePercentByWeek,lateIssueCount,Level
0.0,23.0,22.714285999999998,0.9875780000000001,1.747534,1.009408,7.6667,4.784233,7.571428999999999,5.119048,1.9429759999999998,0.687184,3.785714,1.863998,0.266669,0.676154,2.13249,0.0,0.0,0.0,0.0,1
0.0,23.0,28.285715000000003,1.229814,1.059657,0.966353,7.6667,4.189935,9.428572,7.571428999999999,0.437445,1.462494,4.714286,2.475733,0.56823,1.989743,1.963275,0.0,0.0,0.0,0.0,1
0.0,26.0,37.785715,1.4532969999999998,1.823681,1.161672,8.6667,5.792716,12.595238,10.785715,0.733945,0.942809,6.297619,1.49171,0.43631800000000004,1.097816,1.310443,0.0,0.0,0.0,0.0,1
0.0,24.0,32.964286,1.373512,0.7716069999999999,0.751084,8.0,3.5590260000000002,10.988095,11.345238,0.358656,0.57735,5.494048,2.279793,0.342458,0.8455860000000001,1.403753,0.0,0.0,0.0,2.0,2
0.0,21.0,36.000001,1.714286,1.2140520000000001,0.690066,7.0,3.5590260000000002,12.0,7.285714,1.1500700000000001,0.4,7.2,1.637818,0.184136,2.199443,1.444483,0.0,0.0,0.0,0.0,1
1.0,18.0,30.714285999999998,1.7063490000000001,0.833333,0.687184,3.0,0.0,5.119048,5.02381,0.684567,0.0,10.238095,1.89641,0.234362,5.471875,2.756152,0.7414,14.164745000000002,0.101838,0.0,2
1.0,13.0,33.428571000000005,2.571429,1.4955559999999999,1.263975,2.1667,0.687184,5.571429,3.571429,0.33334400000000003,1.699673,11.142857000000001,3.5913730000000004,1.281123,1.9172220000000002,1.391242,0.7944,10.826921,0.144055,3.0,1
1.0,17.0,90.85714300000001,5.344538,2.297885,2.1404009999999998,2.8333,0.687184,15.142857000000001,12.309524,0.803638,0.471405,30.285714000000002,1.741842,0.219989,0.86249,9.380529,0.8173,9.956851,0.162397,0.0,1
1.0,16.0,86.0,5.375,8.652130999999999,3.38136,2.6667,0.942809,14.333332999999998,7.690475999999999,0.619416,1.247219,28.666666999999997,26.674489,2.531186,7.598752,9.165894,0.6053,1.885618,0.188394,2.0,2
0.0,23.0,47.642858000000004,2.071429,2.807127,2.223563,5.75,0.43301300000000004,11.910714,10.232142999999999,0.65596,0.372678,7.940475999999999,3.5548230000000003,0.707997,2.4678459999999998,6.472030999999999,0.5593,24.86966,0.227292,0.0,2
0.0,20.0,50.142858000000004,2.507143,3.9531629999999995,0.7399319999999999,5.0,0.0,12.535714,6.464286,0.295113,0.0,10.028572,8.074854,0.311677,1.053323,9.133208999999999,0.85,12.275484,0.10747899999999999,0.0,1
0.0,20.0,43.571428999999995,2.178571,1.090871,1.072381,5.0,0.0,10.892857000000001,9.071429,0.878194,0.0,8.714286,2.335179,0.557601,1.9219990000000002,1.247365,0.4336,5.196152,0.266489,0.0,1
0.0,20.0,40.142858000000004,2.007143,0.9420719999999999,0.963068,5.0,0.0,10.035714,6.714286,0.260592,0.0,8.028572,1.657143,0.5099020000000001,1.613559,3.039334,0.975,6.377041999999999,0.047139999999999994,0.0,1
0.0,20.0,44.000001,2.2,1.986832,1.3453620000000002,5.0,0.7071069999999999,11.0,8.464286,0.8781450000000001,0.632456,8.8,4.602218,0.615714,2.6585810000000003,1.911085,0.8333,42.193009,0.088976,0.0,1
0.0,20.0,47.357143,2.367857,1.273774,1.372953,5.0,0.0,11.839286,9.482142999999999,0.455172,0.0,9.471428999999999,2.236798,0.369846,1.030058,1.152283,0.9207,6.796139,0.056502,0.0,1
0.0,20.0,38.285715,1.9142860000000002,1.410397,1.192358,5.0,0.0,9.571429,6.991072,0.9052290000000001,0.0,7.657143,2.5672189999999997,0.726713,2.517125,5.332017,0.9828,21.213203,0.009428,0.0,1
0.0,20.0,33.142858000000004,1.657143,1.052081,1.035616,5.0,0.0,8.285714,8.732142999999999,0.42682700000000007,0.0,6.628572,2.376071,0.574145,2.713628,3.085714,0.5868,15.286841,0.221815,0.0,1
0.0,19.0,51.428571999999996,2.7067669999999997,3.277557,2.744927,4.75,0.43301300000000004,12.857142999999999,7.428572,0.731812,0.4,10.285714,9.763322,1.533644,5.440784,1.915778,0.5192,13.0,0.2443,0.0,1
0.0,19.0,47.357143,2.492481,1.8357029999999999,1.745989,4.75,0.829156,11.839286,10.303572,0.637085,0.4,9.471428999999999,4.7927669999999996,1.005566,1.9379110000000002,2.167289,0.6234,5.43139,0.296065,0.0,1
0.0,21.0,52.571429,2.5034009999999998,1.815779,1.9107049999999999,5.25,1.089725,13.142857000000001,13.607142999999999,0.379325,1.258306,8.761905,4.946425,1.062346,0.8406040000000001,3.4996959999999997,0.7186,19.536824,0.279643,0.0,1
0.0,23.0,57.5,2.5,1.2461659999999999,1.0293430000000001,5.75,0.43301300000000004,14.375,12.517857000000001,0.409396,0.372678,9.583333,2.1893439999999997,0.621869,2.0364459999999998,3.4650220000000003,0.9423,21.18962,0.040017000000000004,0.0,1
0.0,22.0,71.85714399999999,3.266234,1.308941,1.499311,5.5,0.5,17.964285999999998,12.160714,0.813858,0.471405,11.976191,2.3681799999999997,0.506498,1.084323,2.45319,0.7822,17.073370999999998,0.197507,0.0,1
0.0,23.0,44.642858000000004,1.9409939999999999,0.729477,0.680542,5.75,0.829156,11.160714,8.410714,0.855037,0.372678,7.440475999999999,1.259938,0.124024,1.082798,1.5607959999999999,0.8571,14.097872,0.077614,0.0,2
0.0,28.0,73.214286,2.614796,0.773237,0.47211800000000004,7.0,0.0,18.303572,16.125,0.176297,0.0,10.459184,1.120871,0.196776,2.182946,3.105396,0.9448,14.882876000000001,0.049131,0.0,1
1.0,12.0,43.285715,3.607143,1.979057,1.699673,3.0,0.0,10.821429,8.75,0.453632,0.0,14.428572,4.10243,0.418872,1.3863809999999999,3.042406,0.4795,6.869316,0.21635100000000002,1.0,1
1.0,12.0,24.714285999999998,2.059524,1.180719,2.9568659999999998,3.0,0.0,6.178572,5.714286,1.74659,0.0,8.238095,2.583525,1.085359,2.381369,1.586865,0.6481,23.537205,0.130858,0.0,1
0.0,23.0,50.714286,2.2049689999999997,0.719693,0.72035,5.75,1.63936,12.678572,12.964286,0.348672,0.687184,8.452380999999999,1.7562650000000002,0.6929350000000001,2.2185759999999997,3.411332,0.6563,17.691806,0.185218,0.0,1
0.0,24.0,68.0,2.833333,1.584292,8.708807,6.0,1.7320509999999998,17.0,19.375,0.595962,0.0,11.333333,4.669824,3.7749650000000003,2.746126,3.050989,0.9211,10.234745,0.103923,0.0,1
0.0,21.0,55.285715,2.632653,1.2594319999999999,0.9331389999999999,5.25,0.43301300000000004,13.821429,7.464286,0.379177,1.118034,9.214286,3.4241040000000003,0.742212,1.946638,2.845139,0.9222,16.628289000000002,0.04163,1.0,1
1.0,10.0,41.714286,4.171429,2.0493900000000003,2.002498,2.5,0.866025,10.428571,9.107142999999999,1.4138469999999999,0.471405,13.904762,2.862693,1.191164,1.6672049999999998,2.274775,0.75,14.872373999999999,0.10548099999999999,0.0,1
0.0,20.0,61.85714399999999,3.092857,0.9937299999999999,0.9733959999999999,5.0,0.0,15.464285999999998,14.357142999999999,0.341889,0.0,12.371429,1.686925,0.49104200000000003,1.0495379999999999,1.490103,0.8579,9.861541,0.10399800000000001,0.0,1
0.0,20.0,31.357143,1.567857,1.344201,0.653835,5.0,0.0,7.839286,6.678572,0.824714,0.0,6.271429,1.441654,0.247023,3.078199,0.478091,1.0,12.152675,0.0,0.0,1
0.0,18.0,60.642858,3.3690480000000003,1.859452,1.916667,4.5,0.5,15.160714000000002,14.553572,0.48732700000000007,0.48989799999999994,12.128572,5.142143,1.285635,1.961396,1.9003759999999998,0.898,14.889173999999999,0.042128,0.0,1
0.0,20.0,36.428571999999996,1.8214290000000002,1.0132709999999998,0.8619559999999999,5.0,0.0,9.107142999999999,7.857142999999999,0.726775,0.0,7.285714,2.081993,0.263416,2.3116529999999997,2.16889,0.9492,12.298374,0.047735,0.0,1
0.0,24.0,105.35714399999999,4.389881,2.344375,2.075715,6.0,0.0,26.339285999999998,19.375,0.545642,0.0,17.559524,4.85126,1.094805,2.442227,2.2294669999999996,0.8198,12.33643,0.123233,0.0,2
0.0,16.0,30.142857,1.8839290000000002,1.223149,0.845484,4.0,0.7071069999999999,7.535714,5.071429,0.209837,1.16619,6.028571,2.3306299999999998,0.311841,0.334573,0.837879,0.9811,9.823441,0.016671000000000002,0.0,1
0.0,23.0,47.642858000000004,2.071429,0.930983,1.30471,5.75,1.089725,11.910714,11.089286,0.379959,0.372678,7.940475999999999,2.39629,0.664985,2.130794,3.32646,0.9451,20.273135,0.044688,0.0,1
0.0,24.0,32.035715,1.3348209999999998,1.276626,0.877415,6.0,0.0,8.008929,5.526786,0.53062,0.0,5.339286,3.56796,0.6246689999999999,3.0911939999999998,1.245855,1.0,2.357023,0.0,0.0,2
